"Product Name";Description;"Image Link";Price;Rating;"Merchant Name"
"HEETS IQOS Marlboro SLOP dan SATUAN LENGKAP, PASTI READY - Sienna, per Slove";"HEETS IQOS Marlboro SLOP dan SATUAN LENGKAP, PASTI READY

Lengkap Semua Rasa yaa..

Mau per slop, atau per pack, BISA

Mau per slop isi campur2 pilih sesuka rasa, BISA

Mau cepet sampe ? Gojek / Grab Instant ? BISA

** Untuk 1 slop campur, tolong ditambahkan di note/catatan untuk rasa yang dipilih

Ngga perlu ditanya Ready Stock ?, LANGSUNG ORDER AJA, PASTI READY

Apakah Toko Terpercaya ? GIC STORE.. Silahkan baca sendiri comment2 pelanggan setia kami..";"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2020/12/23/9827b67d-5d6e-40a1-be1b-e09cae965231.jpg.webp?ect=4g";365000.0;4.8;"Gic Store"
"Heets All Varian - Purple, per Bungkus";"Heets All Varian";"https://images.tokopedia.net/img/cache/500-square/VqbcmM/2022/5/28/c879808e-d77a-4161-a9dd-22478b24a034.jpg.webp?ect=4g";38500.0;5.0;"Iqos Heets Centre"
